mode,k_over_I,cache_frac,bytes_per_token,tokens_per_sec,perplexity,ppl_ratio_vs_dense,bytes_saved_vs_dense_pct
dense,1.0,0.0,704643072.0,12.099174782037338,16.503644943237305,1.0,0.0
dip,1.0,0.0,704643072.0,5.5790573721881564,16.879274368286133,1.022760391800767,0.0
dip,0.75,0.0,616562688.0,6.459046832054161,57.75258255004883,3.499383484598903,12.5
dip,0.5,0.0,528482304.0,7.695213017516317,231.26173400878906,14.012767167749397,25.0
dip,0.375,0.0,484442112.0,8.291644975004456,695.749755859375,42.15733907584289,31.25
dip,0.25,0.0,440401920.0,9.095843613633422,4969.77734375,301.13210511029956,37.5
dip,0.125,0.0,396361728.0,9.536177984498137,365166.03125,22126.38677734242,43.75
cache_aware_dip,1.0,0.05,687038464.0,4.83537797136455,16.879274368286133,1.022760391800767,2.498372395833337
cache_aware_dip,1.0,0.1,669433856.0,4.897097726217936,16.879274368286133,1.022760391800767,4.9967447916666625
cache_aware_dip,1.0,0.2,634167296.0,5.068433515212693,16.879274368286133,1.022760391800767,10.001627604166663
cache_aware_dip,0.75,0.05,599312512.0,5.69376572964532,57.75258255004883,3.499383484598903,14.948072887602304
cache_aware_dip,0.75,0.1,582448640.0,5.9238271388353825,57.75258255004883,3.499383484598903,17.341323125930064
cache_aware_dip,0.75,0.2,549689536.0,6.059836729137646,57.75258255004883,3.499383484598903,21.99035826183501
cache_aware_dip,0.5,0.05,511908096.0,6.753255600596077,231.26173400878906,14.012767167749397,27.352142333984375
cache_aware_dip,0.5,0.1,496382656.0,6.901709643459989,231.26173400878906,14.012767167749397,29.555447896321617
cache_aware_dip,0.5,0.2,468111360.0,7.290590268288141,231.26173400878906,14.012767167749397,33.56759207589286
cache_aware_dip,0.375,0.05,469167232.0,7.19832512898107,695.749755859375,42.15733907584289,33.41774713425409
cache_aware_dip,0.375,0.1,455863680.0,8.520581904575703,695.749755859375,42.15733907584289,35.30573163713727
cache_aware_dip,0.375,0.2,433092544.0,8.859486981629917,695.749755859375,42.15733907584289,38.537316095261346
cache_aware_dip,0.25,0.05,427376512.0,9.168049735093103,4969.77734375,301.13210511029956,39.3485114687965
cache_aware_dip,0.25,0.1,417175104.0,8.150358655973005,4969.77734375,301.13210511029956,40.796252659388955
cache_aware_dip,0.25,0.2,401139520.0,9.770572441629424,4969.77734375,301.13210511029956,43.071955726260235
cache_aware_dip,0.125,0.05,388084224.0,9.024260157726895,365166.03125,22126.38677734242,44.92470877511161
cache_aware_dip,0.125,0.1,382480384.0,10.538148854968282,365166.03125,22126.38677734242,45.719982328869044
cache_aware_dip,0.125,0.2,374281536.0,10.626197040818903,365166.03125,22126.38677734242,46.88352857317243
